"DATE","variable","value"
"9/8/17","time06:00",21.34
"9/8/17","time07:00",16.93
"9/8/17","time08:00",18.35
"9/8/17","time09:00",31.2
"9/8/17","time10:00",40.48
"9/8/17","time11:00",44.18
"9/8/17","time12:00",44.45
"9/8/17","time13:00",55.02
"9/8/17","time14:00",64.3
"9/8/17","time15:00",63.98
"9/8/17","time16:00",43.4
"9/8/17","time17:00",11.62
"9/8/17","time18:00",9.97
"9/8/17","time19:00",4.87
"9/8/17","time20:00",3.65
"9/8/17","time21:00",3.52
"9/8/17","time22:00",2.92
"9/8/17","time23:00",2.9
"9/9/17","time00:00",2.75
"9/9/17","time01:00",2.45
"9/9/17","time02:00",2.62
"9/9/17","time03:00",2.75
"9/9/17","time04:00",2.32
"9/9/17","time05:00",2.47
"9/9/17","time06:00",2.32
"9/9/17","time07:00",2.15
"9/9/17","time08:00",2.17
"9/9/17","time09:00",2.02
"9/9/17","time10:00",2.62
"9/9/17","time11:00",2.6
"9/9/17","time12:00",3.22
"9/9/17","time13:00",3.52
"9/9/17","time14:00",3.52
"9/9/17","time15:00",3.82
"9/9/17","time16:00",4.57
"9/9/17","time17:00",4.27
"9/9/17","time18:00",4.14
"9/9/17","time19:00",3.8
"9/9/17","time20:00",3.52
"9/9/17","time21:00",2.92
"9/9/17","time22:00",3.07
"9/9/17","time23:00",2.92
"9/10/17","time00:00",3.2
"9/10/17","time01:00",2.58
"9/10/17","time02:00",2.62
"9/10/17","time03:00",2.45
"9/10/17","time04:00",4.08
"9/10/17","time05:00",11.87
"9/10/17","time06:00",10.01
"9/10/17","time07:00",8.78
"9/10/17","time08:00",9.62
"9/10/17","time09:00",9.54
"9/10/17","time10:00",11.28
"9/10/17","time11:00",11.8
"9/10/17","time12:00",12.89
"9/10/17","time13:00",5.32
"9/10/17","time14:00",6.67
"9/10/17","time15:00",8.17
"9/10/17","time16:00",9.09
"9/10/17","time17:00",6.84
"9/10/17","time18:00",5.92
"9/10/17","time19:00",5.02
"9/10/17","time20:00",4.42
"9/10/17","time21:00",3.95
"9/10/17","time22:00",3.52
"9/10/17","time23:00",3.39
"9/11/17","time00:00",3.07
"9/11/17","time01:00",3.07
"9/11/17","time02:00",3.2
"9/11/17","time03:00",2.75
"9/11/17","time04:00",2.75
"9/11/17","time05:00",5.44
"9/11/17","time06:00",32.84
"9/11/17","time07:00",34.95
"9/11/17","time08:00",37.46
"9/11/17","time09:00",44.04
"9/11/17","time10:00",54.59
"9/11/17","time11:00",64.44
"9/11/17","time12:00",65.29
"9/11/17","time13:00",69.44
"9/11/17","time14:00",71.05
"9/11/17","time15:00",71.84
"9/11/17","time16:00",45.02
"9/11/17","time17:00",9.97
"9/11/17","time18:00",10.29
"9/11/17","time19:00",9.65
"9/11/17","time20:00",6.52
"9/11/17","time21:00",4.57
"9/11/17","time22:00",3.5
"9/11/17","time23:00",3.5
"9/12/17","time00:00",3.5
"9/12/17","time01:00",3.2
"9/12/17","time02:00",3.2
"9/12/17","time03:00",2.92
"9/12/17","time04:00",2.77
"9/12/17","time05:00",4.02
"9/12/17","time06:00",23.77
"9/12/17","time07:00",27.75
"9/12/17","time08:00",32.42
"9/12/17","time09:00",41.91
"9/12/17","time10:00",55.83
"9/12/17","time11:00",59.59
"9/12/17","time12:00",62.33
"9/12/17","time13:00",67.62
"9/12/17","time14:00",68.57
"9/12/17","time15:00",70.5
"9/12/17","time16:00",50.87
"9/12/17","time17:00",23.67
"9/12/17","time18:00",23.13
"9/12/17","time19:00",13.89
"9/12/17","time20:00",4.87
"9/12/17","time21:00",3.97
"9/12/17","time22:00",3.67
"9/12/17","time23:00",3.67
"9/13/17","time00:00",3.05
"9/13/17","time01:00",2.75
"9/13/17","time02:00",2.92
"9/13/17","time03:00",2.77
"9/13/17","time04:00",2.6
"9/13/17","time05:00",3.72
"9/13/17","time06:00",22.89
"9/13/17","time07:00",24.56
"9/13/17","time08:00",22.85
"9/13/17","time09:00",34.75
"9/13/17","time10:00",43.26
"9/13/17","time11:00",48.3
"9/13/17","time12:00",52.62
"9/13/17","time13:00",49.16
"9/13/17","time14:00",51.86
"9/13/17","time15:00",55.89
"9/13/17","time16:00",35.15
"9/13/17","time17:00",11.77
"9/13/17","time18:00",14.92
"9/13/17","time19:00",8.17
"9/13/17","time20:00",3.52
"9/13/17","time21:00",3.37
"9/13/17","time22:00",2.75
"9/13/17","time23:00",2.62
"9/14/17","time00:00",2.62
"9/14/17","time01:00",2.17
"9/14/17","time02:00",2.3
"9/14/17","time03:00",2.32
"9/14/17","time04:00",2.47
"9/14/17","time05:00",3.72
"9/14/17","time06:00",18.67
"9/14/17","time07:00",12.79
"9/14/17","time08:00",17.23
"9/14/17","time09:00",29.35
"9/14/17","time10:00",36.5
"9/14/17","time11:00",44.86
"9/14/17","time12:00",44.31
"9/14/17","time13:00",44.78
"9/14/17","time14:00",47.64
"9/14/17","time15:00",51.42
"9/14/17","time16:00",39.03
"9/14/17","time17:00",14.66
"9/14/17","time18:00",12.99
"9/14/17","time19:00",11.26
"9/14/17","time20:00",2.77
"9/14/17","time21:00",2.45
"9/14/17","time22:00",2.47
"9/14/17","time23:00",2.45
"9/15/17","time00:00",2.45
"9/15/17","time01:00",2.47
"9/15/17","time02:00",2.47
"9/15/17","time03:00",2.47
"9/15/17","time04:00",2.45
"9/15/17","time05:00",4.77
"9/15/17","time06:00",17.88
"9/15/17","time07:00",12.98
"9/15/17","time08:00",18.14
"9/15/17","time09:00",29.64
"9/15/17","time10:00",36.07
"9/15/17","time11:00",46.21
"9/15/17","time12:00",44.5
"9/15/17","time13:00",51.37
"9/15/17","time14:00",52.12
"9/15/17","time15:00",55.69
"9/15/17","time16:00",36.74
"9/15/17","time17:00",12.8
"9/15/17","time18:00",7.27
"9/15/17","time19:00",3.82
"9/15/17","time20:00",3.05
"9/15/17","time21:00",3.2
"9/15/17","time22:00",2.6
"9/15/17","time23:00",2.47
"9/16/17","time00:00",2.3
"9/16/17","time01:00",2.3
"9/16/17","time02:00",2.32
"9/16/17","time03:00",2.45
"9/16/17","time04:00",2.47
"9/16/17","time05:00",2.45
"9/16/17","time06:00",2.32
"9/16/17","time07:00",2.17
"9/16/17","time08:00",1.85
"9/16/17","time09:00",2.17
"9/16/17","time10:00",1.87
"9/16/17","time11:00",2.15
"9/16/17","time12:00",2.32
"9/16/17","time13:00",3.07
"9/16/17","time14:00",3.52
"9/16/17","time15:00",3.8
"9/16/17","time16:00",3.82
"9/16/17","time17:00",3.5
"9/16/17","time18:00",3.52
"9/16/17","time19:00",3.07
"9/16/17","time20:00",2.92
"9/16/17","time21:00",2.75
"9/16/17","time22:00",2.3
"9/16/17","time23:00",2.62
"9/17/17","time00:00",2.32
"9/17/17","time01:00",2.32
"9/17/17","time02:00",2.17
"9/17/17","time03:00",2.47
"9/17/17","time04:00",3.94
"9/17/17","time05:00",10.84
"9/17/17","time06:00",7.5
"9/17/17","time07:00",7.61
"9/17/17","time08:00",8.29
"9/17/17","time09:00",9.51
"9/17/17","time10:00",10.97
"9/17/17","time11:00",10.86
"9/17/17","time12:00",11.58
"9/17/17","time13:00",3.97
"9/17/17","time14:00",3.67
"9/17/17","time15:00",3.52
"9/17/17","time16:00",3.8
"9/17/17","time17:00",5.62
"9/17/17","time18:00",5.77
"9/17/17","time19:00",3.05
"9/17/17","time20:00",2.94
"9/17/17","time21:00",2.6
"9/17/17","time22:00",2.45
"9/17/17","time23:00",2.45
"9/18/17","time00:00",2.6
"9/18/17","time01:00",2.17
"9/18/17","time02:00",2.32
"9/18/17","time03:00",2.45
"9/18/17","time04:00",2.3
"9/18/17","time05:00",4.35
"9/18/17","time06:00",19.98
"9/18/17","time07:00",12.64
"9/18/17","time08:00",19.09
"9/18/17","time09:00",31.41
"9/18/17","time10:00",38.73
"9/18/17","time11:00",48.32
"9/18/17","time12:00",49.95
"9/18/17","time13:00",51.52
"9/18/17","time14:00",53.65
"9/18/17","time15:00",53
"9/18/17","time16:00",34.95
"9/18/17","time17:00",8.15
"9/18/17","time18:00",5.17
"9/18/17","time19:00",3.65
"9/18/17","time20:00",3.07
"9/18/17","time21:00",2.6
"9/18/17","time22:00",2.6
"9/18/17","time23:00",2.47
"9/19/17","time00:00",2.6
"9/19/17","time01:00",2.62
"9/19/17","time02:00",2.47
"9/19/17","time03:00",2.45
"9/19/17","time04:00",2.47
"9/19/17","time05:00",5.13
"9/19/17","time06:00",17.83
"9/19/17","time07:00",13.51
"9/19/17","time08:00",19.49
"9/19/17","time09:00",25.57
"9/19/17","time10:00",29.38
"9/19/17","time11:00",39.72
"9/19/17","time12:00",41.92
"9/19/17","time13:00",46.24
"9/19/17","time14:00",48.88
"9/19/17","time15:00",44.27
"9/19/17","time16:00",32.96
"9/19/17","time17:00",14.06
"9/19/17","time18:00",11.34
"9/19/17","time19:00",8.69
"9/19/17","time20:00",2.6
"9/19/17","time21:00",2.3
"9/19/17","time22:00",2.47
"9/19/17","time23:00",2.32
"9/20/17","time00:00",2.3
"9/20/17","time01:00",2.47
"9/20/17","time02:00",2.17
"9/20/17","time03:00",2.45
"9/20/17","time04:00",2.32
"9/20/17","time05:00",4.08
"9/20/17","time06:00",7.32
"9/20/17","time07:00",11.12
"9/20/17","time08:00",16.26
"9/20/17","time09:00",21.8
"9/20/17","time10:00",29.14
