"Time","mean","n"
"0:00:00",32.2703215983562,365
"1:00:00",32.2703215983562,365
"2:00:00",32.2703215983562,365
"3:00:00",32.2703215983562,365
"4:00:00",32.2703215983562,365
"5:00:00",32.2703215983562,365
"6:00:00",32.2703215983562,365
"7:00:00",32.2703215983562,365
"8:00:00",67.3964908801096,365
"9:00:00",91.0751757156165,365
"10:00:00",91.0751757156165,365
"11:00:00",91.0751757156165,365
"12:00:00",91.0751757156165,365
"13:00:00",91.0751757156165,365
"14:00:00",91.0751757156165,365
"15:00:00",91.0751757156165,365
"16:00:00",91.0751757156165,365
"17:00:00",91.0751757156165,365
"18:00:00",70.591489140274,365
"19:00:00",70.591489140274,365
"20:00:00",70.591489140274,365
"21:00:00",67.3964908801096,365
"22:00:00",32.2703215983562,365
"23:00:00",32.2703215983562,365
