"Time","mean","n"
"0:00:00",12.8884567665753,365
"1:00:00",12.9141532878082,365
"2:00:00",12.927677772274,365
"3:00:00",12.9439071583288,365
"4:00:00",12.9655463309315,365
"5:00:00",12.9804232630137,365
"6:00:00",12.9892142009315,365
"7:00:00",20.9811673353425,365
"8:00:00",29.8641842616986,365
"9:00:00",42.5282458981096,365
"10:00:00",44.2096113996712,365
"11:00:00",45.2739272030137,365
"12:00:00",46.3809506196986,365
"13:00:00",47.532314230274,365
"14:00:00",48.6144176158356,365
"15:00:00",49.1448236183288,365
"16:00:00",48.9961349795342,365
"17:00:00",45.5148391129041,365
"18:00:00",34.7870920511507,365
"19:00:00",33.0093978343836,365
"20:00:00",31.6282638051233,365
"21:00:00",29.6844798788493,365
"22:00:00",16.2210085497534,365
"23:00:00",12.8573504524932,365
