"Time","mean","n"
"0:00:00",12.0691437512329,365
"1:00:00",12.0691437512329,365
"2:00:00",12.0691437512329,365
"3:00:00",12.0691437512329,365
"4:00:00",12.0691437512329,365
"5:00:00",12.0691437512329,365
"6:00:00",12.0691437512329,365
"7:00:00",12.0691437512329,365
"8:00:00",22.3779108168767,365
"9:00:00",32.3328484181918,365
"10:00:00",32.3328484181918,365
"11:00:00",32.3328484181918,365
"12:00:00",32.3328484181918,365
"13:00:00",32.3328484181918,365
"14:00:00",32.3328484181918,365
"15:00:00",32.3328484181918,365
"16:00:00",32.3328484181918,365
"17:00:00",32.3328484181918,365
"18:00:00",23.3155733496986,365
"19:00:00",23.3155733496986,365
"20:00:00",23.3155733496986,365
"21:00:00",22.3779108168767,365
"22:00:00",12.0691437512329,365
"23:00:00",12.0691437512329,365
