"Day","Season","Time","mean_kWh"
"Saturday","Spring","4:00",0.000195610639404223
"Saturday","Summer","4:00",0.000183871435897436
"Saturday","Winter","4:00",0.000198608652321099
"Sunday","Fall","4:00",0.000186099356125356
"Sunday","Spring","4:00",0.000197409446505782
"Sunday","Summer","4:00",0.000183871435897436
"Sunday","Winter","4:00",0.000200022000237317
"Thursday","Fall","4:00",0.000183871435897436
"Thursday","Spring","4:00",0.000195610639404223
"Thursday","Summer","4:00",0.000186099356125356
"Thursday","Winter","4:00",0.00019920825360734
"Tuesday","Fall","4:00",0.000184667121693122
"Tuesday","Spring","4:00",0.000195660606268155
"Tuesday","Summer","4:00",0.000186099356125356
"Tuesday","Winter","4:00",0.00019920825360734
"Wednesday","Fall","4:00",0.000183871435897436
"Wednesday","Spring","4:00",0.000196210241771409
"Wednesday","Summer","4:00",0.000186099356125356
"Wednesday","Winter","4:00",0.000198608651240154
"Friday","Fall","5:00",0.000186099356125356
"Friday","Spring","5:00",0.000196809844138596
"Friday","Summer","5:00",0.000186099356125356
"Friday","Winter","5:00",0.00019920825360734
"Monday","Fall","5:00",0.000186099356125356
"Monday","Spring","5:00",0.000196310175499274
"Monday","Summer","5:00",0.000184667121693122
"Monday","Winter","5:00",0.000200407460168426
"Saturday","Fall","5:00",0.000186099356125356
"Saturday","Spring","5:00",0.000195610639404223
"Saturday","Summer","5:00",0.000183871435897436
"Saturday","Winter","5:00",0.00019920825360734
"Sunday","Fall","5:00",0.000186099356125356
"Sunday","Spring","5:00",0.000197409446505782
"Sunday","Summer","5:00",0.000183871435897436
"Sunday","Winter","5:00",0.000201135546930439
"Thursday","Fall","5:00",0.000183871435897436
"Thursday","Spring","5:00",0.000195610639404223
"Thursday","Summer","5:00",0.000186099356125356
"Thursday","Winter","5:00",0.00019920825360734
"Tuesday","Fall","5:00",0.000184667121693122
"Tuesday","Spring","5:00",0.000195660606268155
"Tuesday","Summer","5:00",0.000186099356125356
"Tuesday","Winter","5:00",0.00019920825360734
"Wednesday","Fall","5:00",0.000183871435897436
"Wednesday","Spring","5:00",0.000196210241771409
"Wednesday","Summer","5:00",0.000186099356125356
"Wednesday","Winter","5:00",0.000198608651273672
"Friday","Fall","6:00",0.000186099356125356
"Friday","Spring","6:00",0.000196809844138596
"Friday","Summer","6:00",0.000194107795278197
"Friday","Winter","6:00",0.00019920825360734
"Monday","Fall","6:00",0.000186099356125356
"Monday","Spring","6:00",0.00019631017630719
"Monday","Summer","6:00",0.000184667121693122
"Monday","Winter","6:00",0.000201007060708899
"Saturday","Fall","6:00",0.000186099356125356
"Saturday","Spring","6:00",0.000195610639404223
"Saturday","Summer","6:00",0.000183871435897436
"Saturday","Winter","6:00",0.00019920825360734
"Sunday","Fall","6:00",0.000186099356125356
"Sunday","Spring","6:00",0.000197409446505782
"Sunday","Summer","6:00",0.000183871435897436
"Sunday","Winter","6:00",0.000201135546930439
"Thursday","Fall","6:00",0.000183871435897436
"Thursday","Spring","6:00",0.000195610639957265
"Thursday","Summer","6:00",0.000194425967743422
"Thursday","Winter","6:00",0.00019920825360734
"Tuesday","Fall","6:00",0.000185223895319795
"Tuesday","Spring","6:00",0.000195660608955156
"Tuesday","Summer","6:00",0.000186099356125356
"Tuesday","Winter","6:00",0.000199807855974527
"Wednesday","Fall","6:00",0.000183871435897436
"Wednesday","Spring","6:00",0.000196809844138596
"Wednesday","Summer","6:00",0.000186099356125356
"Wednesday","Winter","6:00",0.000199208256343221
"Friday","Fall","7:00",0.000340916322272499
"Friday","Spring","7:00",0.000335767030434054
"Friday","Summer","7:00",0.000352446957055472
"Friday","Winter","7:00",0.000330532083186694
"Monday","Fall","7:00",0.000337757263738059
"Monday","Spring","7:00",0.000331497093881627
"Monday","Summer","7:00",0.000346529440048242
"Monday","Winter","7:00",0.000323076093694486
"Saturday","Fall","7:00",0.000337268946426177
"Saturday","Spring","7:00",0.000337542774962293
"Saturday","Summer","7:00",0.000349704747963801
"Saturday","Winter","7:00",0.000328658079784649
"Sunday","Fall","7:00",0.000282795418447293
"Sunday","Spring","7:00",0.000330360294838277
"Sunday","Summer","7:00",0.000274950819109268
"Sunday","Winter","7:00",0.000322881252369281
"Thursday","Fall","7:00",0.00034332022702363
"Thursday","Spring","7:00",0.000338061571212502
"Thursday","Summer","7:00",0.00036502571647394
"Thursday","Winter","7:00",0.000329551485101391
"Tuesday","Fall","7:00",0.00034207664265873
"Tuesday","Spring","7:00",0.000337773344258352
"Tuesday","Summer","7:00",0.000367166112900117
"Tuesday","Winter","7:00",0.000328663621861907
"Wednesday","Fall","7:00",0.000345358488474108
"Wednesday","Spring","7:00",0.000337915772289258
"Wednesday","Summer","7:00",0.000367535655371208
"Wednesday","Winter","7:00",0.000330066482738395
"Friday","Fall","8:00",0.000556306691235126
"Friday","Spring","8:00",0.000630134249539132
"Friday","Summer","8:00",0.000582629505358639
"Friday","Winter","8:00",0.00062823963930786
"Monday","Fall","8:00",0.000560797492839786
"Monday","Spring","8:00",0.000620330554057734
"Monday","Summer","8:00",0.000558931601112667
"Monday","Winter","8:00",0.000608647306225909
"Saturday","Fall","8:00",0.000294449789550863
"Saturday","Spring","8:00",0.000255574487891738
"Saturday","Summer","8:00",0.000315380152710742
"Saturday","Winter","8:00",0.000240901780211999
"Sunday","Fall","8:00",0.00028365669653511
"Sunday","Spring","8:00",0.00025076122008128
"Sunday","Summer","8:00",0.00034615706142115
"Sunday","Winter","8:00",0.000292438799183007
"Thursday","Fall","8:00",0.000547287111513323
"Thursday","Spring","8:00",0.000639897953829395
"Thursday","Summer","8:00",0.0006197937836727
"Thursday","Winter","8:00",0.000625436851055807
"Tuesday","Fall","8:00",0.000548470686461251
"Tuesday","Spring","8:00",0.00062745440518337
"Tuesday","Summer","8:00",0.000599907596275348
"Tuesday","Winter","8:00",0.000628220676051617
"Wednesday","Fall","8:00",0.000537946563658455
"Wednesday","Spring","8:00",0.000642728354952237
"Wednesday","Summer","8:00",0.00061297027095693
"Wednesday","Winter","8:00",0.000634329708354282
"Friday","Fall","9:00",0.000854727653971845
"Friday","Spring","9:00",0.000872033867437573
"Friday","Summer","9:00",0.000889236041352438
"Friday","Winter","9:00",0.000832331486928105
"Monday","Fall","9:00",0.000839471483157366
"Monday","Spring","9:00",0.000870737051062092
"Monday","Summer","9:00",0.000845454273653906
"Monday","Winter","9:00",0.000824354461496565
"Saturday","Fall","9:00",0.000329529831380928
"Saturday","Spring","9:00",0.000272410359552539
"Saturday","Summer","9:00",0.000356768703448131
"Saturday","Winter","9:00",0.000235341812753477
"Sunday","Fall","9:00",0.000317601569930451
