"DATE","Site.Conditioned.Area..Square.Feet..SF.","variable","value"
"9/5/17",50096,"time11:00",0.00121366975407218
"9/5/17",50096,"time12:00",0.00128074097732354
"9/5/17",50096,"time13:00",0.00131587352283615
"9/5/17",50096,"time14:00",0.00123922069626317
"9/5/17",50096,"time15:00",0.00127115937400192
"9/5/17",50096,"time16:00",0.00109549664643884
"9/5/17",50096,"time17:00",0.00106036410092622
"9/5/17",50096,"time18:00",0.000948578728840626
"9/5/17",50096,"time19:00",0.000290641967422549
"9/5/17",50096,"time20:00",0.00030661130629192
"9/5/17",50096,"time21:00",0.000169274992015331
"9/5/17",50096,"time22:00",0.000130948578728841
"9/5/17",50096,"time23:00",9.58160332162248e-05
"9/6/17",50096,"time00:00",8.94282976684765e-05
"9/6/17",50096,"time01:00",9.9009900990099e-05
"9/6/17",50096,"time02:00",8.94282976684765e-05
"9/6/17",50096,"time03:00",9.26221654423507e-05
"9/6/17",50096,"time04:00",9.9009900990099e-05
"9/6/17",50096,"time05:00",7.9846694346854e-05
"9/6/17",50096,"time06:00",0.00043755988502076
"9/6/17",50096,"time07:00",0.000431172149473012
"9/6/17",50096,"time08:00",0.000910252315554136
"9/6/17",50096,"time09:00",0.000839987224528905
"9/6/17",50096,"time10:00",0.000785691472373044
"9/6/17",50096,"time11:00",0.000897476844458639
"9/6/17",50096,"time12:00",0.00119131267965506
"9/6/17",50096,"time13:00",0.00122644522516768
"9/6/17",50096,"time14:00",0.00124560843181092
"9/6/17",50096,"time15:00",0.00134142446502715
"9/6/17",50096,"time16:00",0.00118811881188119
"9/6/17",50096,"time17:00",0.00113062919195145
"9/6/17",50096,"time18:00",0.000977323538805493
"9/6/17",50096,"time19:00",0.000776109869051421
"9/6/17",50096,"time20:00",0.000223570744171191
"9/6/17",50096,"time21:00",0.000162887256467582
"9/6/17",50096,"time22:00",0.000159693388693708
"9/6/17",50096,"time23:00",0.000111785372085596
"9/7/17",50096,"time00:00",8.94282976684765e-05
"9/7/17",50096,"time01:00",9.9009900990099e-05
"9/7/17",50096,"time02:00",8.94282976684765e-05
"9/7/17",50096,"time03:00",8.94282976684765e-05
