"Time","mean","n"
"0:00:00",34.9203673824932,365
"1:00:00",35.058362817589,365
"2:00:00",35.0183900816164,365
"3:00:00",35.0772036663836,365
"4:00:00",35.1438590741096,365
"5:00:00",35.1673845032329,365
"6:00:00",35.2938068729315,365
"7:00:00",61.6090239953699,365
"8:00:00",93.5199089591781,365
"9:00:00",128.289141827151,365
"10:00:00",132.145609837288,365
"11:00:00",135.323811021616,365
"12:00:00",138.350132238384,365
"13:00:00",141.809275784822,365
"14:00:00",144.823042040192,365
"15:00:00",145.898695578767,365
"16:00:00",146.072407842438,365
"17:00:00",134.418795892055,365
"18:00:00",109.515968237507,365
"19:00:00",106.311001034904,365
"20:00:00",102.078208916493,365
"21:00:00",94.6309102204931,365
"22:00:00",47.2857907228767,365
"23:00:00",35.2300163277534,365
