"char_prem_id","Site.Name","DATE","variable","value","Month","day","season"
1631302398,"Palm Elementary","9/3/17","time18:00",4.64,9,"Sunday","Fall"
1631302398,"Palm Elementary","9/3/17","time19:00",4.96,9,"Sunday","Fall"
1631302398,"Palm Elementary","9/3/17","time20:00",5.76,9,"Sunday","Fall"
1631302398,"Palm Elementary","9/3/17","time21:00",5.28,9,"Sunday","Fall"
1631302398,"Palm Elementary","9/3/17","time22:00",5.76,9,"Sunday","Fall"
1631302398,"Palm Elementary","9/3/17","time23:00",5.92,9,"Sunday","Fall"
1631302398,"Palm Elementary","9/4/17","time00:00",5.44,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time01:00",4.96,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time02:00",5.44,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time03:00",4.96,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time04:00",4.64,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time05:00",5.12,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time06:00",4.8,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time07:00",4.64,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time08:00",4.32,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time09:00",4,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time10:00",4,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time11:00",4.64,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time12:00",3.68,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time13:00",4.96,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time14:00",4.64,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time15:00",6.4,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time16:00",5.44,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time17:00",6.24,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time18:00",5.12,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time19:00",4.96,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time20:00",5.28,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time21:00",5.28,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time22:00",5.6,9,"Monday","Fall"
1631302398,"Palm Elementary","9/4/17","time23:00",5.6,9,"Monday","Fall"
1631302398,"Palm Elementary","9/5/17","time00:00",5.6,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time01:00",4.64,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time02:00",4.96,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time03:00",5.44,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time04:00",4.8,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time05:00",4.64,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time06:00",33.12,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time07:00",35.2,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time08:00",51.52,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time09:00",33.44,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time10:00",29.6,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time11:00",60.8,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time12:00",64.16,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time13:00",65.92,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time14:00",62.08,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time15:00",63.68,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time16:00",54.88,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time17:00",53.12,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time18:00",47.52,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time19:00",14.56,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time20:00",15.36,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time21:00",8.48,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time22:00",6.56,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/5/17","time23:00",4.8,9,"Tuesday","Fall"
1631302398,"Palm Elementary","9/6/17","time00:00",4.48,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time01:00",4.96,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time02:00",4.48,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time03:00",4.64,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time04:00",4.96,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time05:00",4,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time06:00",21.92,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time07:00",21.6,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time08:00",45.6,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time09:00",42.08,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time10:00",39.36,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time11:00",44.96,9,"Wednesday","Fall"
1631302398,"Palm Elementary","9/6/17","time12:00",59.68,9,"Wednesday","Fall"
