"char_prem_id","Site.Name","DATE","variable","value","Month","day","season"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time00:00",12.9,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time01:00",12.9,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time02:00",12.6,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time03:00",12.9,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time04:00",13.8,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time05:00",12.9,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time06:00",27,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time07:00",31.2,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time08:00",33.3,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time09:00",37.8,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time10:00",36.9,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time11:00",38.1,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time12:00",36.6,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time13:00",43.8,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time14:00",46.2,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time15:00",39.9,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time16:00",29.7,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time17:00",21.9,11,"Wednesday","Winter"
6293420743,"Gilroy Prep School (Navigators School)","11/1/17","time18:00",21.3,11,"Wednesday","Winter"
