"char_prem_id","Site.Name","DATE","variable","value","Month","day","season"
1631302398,"Palm Elementary","11/1/17","time00:00",3.68,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time01:00",3.2,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time02:00",3.68,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time03:00",3.2,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time04:00",3.04,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time05:00",3.84,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time06:00",7.36,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time07:00",8.96,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time08:00",14.72,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time09:00",13.6,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time10:00",17.12,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time11:00",16.48,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time12:00",16.8,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time13:00",25.92,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time14:00",22.4,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time15:00",21.28,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time16:00",18.4,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time17:00",17.44,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time18:00",15.68,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time19:00",14.08,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time20:00",8.8,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time21:00",6.56,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time22:00",5.12,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/1/17","time23:00",4.32,11,"Wednesday","Winter"
1631302398,"Palm Elementary","11/2/17","time00:00",4.32,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time01:00",4,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time02:00",3.52,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time03:00",3.52,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time04:00",4,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time05:00",4.16,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time06:00",7.2,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time07:00",8.32,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time08:00",13.76,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time09:00",12.8,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time10:00",14.08,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time11:00",15.2,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time12:00",16.48,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time13:00",13.92,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time14:00",13.92,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time15:00",15.68,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time16:00",12.48,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time17:00",10.88,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time18:00",11.68,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time19:00",8.48,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time20:00",8,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time21:00",6.08,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time22:00",5.92,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/2/17","time23:00",4.48,11,"Thursday","Winter"
1631302398,"Palm Elementary","11/3/17","time00:00",4,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time01:00",4.16,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time02:00",4.16,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time03:00",3.52,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time04:00",3.52,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time05:00",4.48,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time06:00",7.52,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time07:00",8.32,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time08:00",16.32,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time09:00",13.12,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time10:00",14.24,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time11:00",16,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time12:00",19.04,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time13:00",25.6,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time14:00",21.44,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time15:00",28.16,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time16:00",13.92,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time17:00",9.12,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time18:00",7.68,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time19:00",6.4,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time20:00",5.92,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time21:00",5.28,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time22:00",4.96,11,"Friday","Winter"
1631302398,"Palm Elementary","11/3/17","time23:00",4,11,"Friday","Winter"
1631302398,"Palm Elementary","11/4/17","time00:00",3.84,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time01:00",3.36,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time02:00",4,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time03:00",4,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time04:00",3.36,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time05:00",3.68,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time06:00",3.52,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time07:00",3.52,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time08:00",3.68,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time09:00",3.2,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time10:00",3.84,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time11:00",4,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time12:00",4.16,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time13:00",4.16,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time14:00",4,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time15:00",4.32,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time16:00",3.84,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time17:00",3.36,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time18:00",3.52,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time19:00",3.84,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time20:00",4,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time21:00",3.36,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time22:00",3.52,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/4/17","time23:00",3.36,11,"Saturday","Winter"
1631302398,"Palm Elementary","11/5/17","time00:00",3.2,11,"Sunday","Winter"
1631302398,"Palm Elementary","11/5/17","time01:00",3.76,11,"Sunday","Winter"
1631302398,"Palm Elementary","11/5/17","time02:00",3.28,11,"Sunday","Winter"
1631302398,"Palm Elementary","11/5/17","time03:00",3.52,11,"Sunday","Winter"
1631302398,"Palm Elementary","11/5/17","time04:00",3.52,11,"Sunday","Winter"
