Date,Time,Electricity.Facility.J.,kWh,Day,Month,Season
0006-01-04,9:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-04,10:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-04,11:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-04,12:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-04,13:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-04,14:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-04,15:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-04,16:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-04,17:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-04,18:00,107592060.2,29.88668339,Wednesday,1,Winter
0006-01-04,19:00,107592060.2,29.88668339,Wednesday,1,Winter
0006-01-04,20:00,107592060.2,29.88668339,Wednesday,1,Winter
0006-01-04,21:00,107592060.2,29.88668339,Wednesday,1,Winter
0006-01-04,22:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-04,23:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-05,0:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-05,1:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-05,2:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-05,3:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-05,4:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-05,5:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-05,6:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-05,7:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-05,8:00,107592060.2,29.88668339,Thursday,1,Winter
0006-01-05,9:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-05,10:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-05,11:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-05,12:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-05,13:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-05,14:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-05,15:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-05,16:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-05,17:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-05,18:00,107592060.2,29.88668339,Thursday,1,Winter
0006-01-05,19:00,107592060.2,29.88668339,Thursday,1,Winter
0006-01-05,20:00,107592060.2,29.88668339,Thursday,1,Winter
0006-01-05,21:00,107592060.2,29.88668339,Thursday,1,Winter
0006-01-05,22:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-05,23:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-06,0:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-06,1:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-06,2:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-06,3:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-06,4:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-06,5:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-06,6:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-06,7:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-06,8:00,107592060.2,29.88668339,Friday,1,Winter
0006-01-06,9:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-06,10:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-06,11:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-06,12:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-06,13:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-06,14:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-06,15:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-06,16:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-06,17:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-06,18:00,107592060.2,29.88668339,Friday,1,Winter
0006-01-06,19:00,107592060.2,29.88668339,Friday,1,Winter
0006-01-06,20:00,107592060.2,29.88668339,Friday,1,Winter
0006-01-06,21:00,107592060.2,29.88668339,Friday,1,Winter
0006-01-06,22:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-06,23:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-07,0:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,1:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,2:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,3:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,4:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,5:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,6:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,7:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,8:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,9:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,10:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,11:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,12:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,13:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,14:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,15:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,16:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,17:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,18:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,19:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,20:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,21:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,22:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-07,23:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-08,0:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,1:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,2:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,3:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,4:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,5:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,6:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,7:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,8:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,9:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,10:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,11:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,12:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,13:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,14:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,15:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,16:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,17:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,18:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,19:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,20:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,21:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,22:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-08,23:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-09,0:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-09,1:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-09,2:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-09,3:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-09,4:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-09,5:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-09,6:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-09,7:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-09,8:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-09,9:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-09,10:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-09,11:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-09,12:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-09,13:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-09,14:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-09,15:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-09,16:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-09,17:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-09,18:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-09,19:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-09,20:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-09,21:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-09,22:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-09,23:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-10,0:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-10,1:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-10,2:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-10,3:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-10,4:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-10,5:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-10,6:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-10,7:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-10,8:00,107592060.2,29.88668339,Tuesday,1,Winter
0006-01-10,9:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-10,10:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-10,11:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-10,12:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-10,13:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-10,14:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-10,15:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-10,16:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-10,17:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-10,18:00,107592060.2,29.88668339,Tuesday,1,Winter
0006-01-10,19:00,107592060.2,29.88668339,Tuesday,1,Winter
0006-01-10,20:00,107592060.2,29.88668339,Tuesday,1,Winter
0006-01-10,21:00,107592060.2,29.88668339,Tuesday,1,Winter
0006-01-10,22:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-10,23:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-11,0:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-11,1:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-11,2:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-11,3:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-11,4:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-11,5:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-11,6:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-11,7:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-11,8:00,107592060.2,29.88668339,Wednesday,1,Winter
0006-01-11,9:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-11,10:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-11,11:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-11,12:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-11,13:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-11,14:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-11,15:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-11,16:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-11,17:00,158155500.2,43.93208339,Wednesday,1,Winter
0006-01-11,18:00,107592060.2,29.88668339,Wednesday,1,Winter
0006-01-11,19:00,107592060.2,29.88668339,Wednesday,1,Winter
0006-01-11,20:00,107592060.2,29.88668339,Wednesday,1,Winter
0006-01-11,21:00,107592060.2,29.88668339,Wednesday,1,Winter
0006-01-11,22:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-11,23:00,44880393.89,12.46677608,Wednesday,1,Winter
0006-01-12,0:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-12,1:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-12,2:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-12,3:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-12,4:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-12,5:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-12,6:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-12,7:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-12,8:00,107592060.2,29.88668339,Thursday,1,Winter
0006-01-12,9:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-12,10:00,158155500.2,43.93208339,Thursday,1,Winter
